question,company,year,expected_section,gold_answer,answer_type
"What was Apple's total net sales reported in its FY2024 10-K (fiscal year ended September 28, 2024)?",AAPL,2024,Financial Statements,"Total net sales were $391.0 billion ($391,035M) for fiscal 2024.",numeric
What net income did Apple report for fiscal year 2023 in its FY2023 10-K?,AAPL,2023,Financial Statements,"Net income was $97.0 billion ($96,995M) for fiscal 2023.",numeric
"What were Tesla's total revenues for fiscal year 2024 (ended December 31, 2024)?",TSLA,2024,Financial Statements,"Total revenues were $97.69 billion ($97,690M) for 2024; automotive $77.07B, energy $10.09B.",numeric
"What total revenue did Microsoft report in its FY2024 10-K (fiscal year ended June 30, 2024)?",MSFT,2024,Financial Statements,"Total revenue was $245.1 billion ($245,122M) for fiscal 2024.",numeric
"What were Amazon's total net sales for fiscal year 2024 (ended December 31, 2024)?",AMZN,2024,Financial Statements,"Total net sales were $638.0 billion ($637,959M) for 2024.",numeric
"What were Alphabet's total revenues for fiscal year 2024 (ended December 31, 2024)?",GOOGL,2024,Financial Statements,"Total revenues were $350.0 billion ($350,018M) for 2024.",numeric
What was Apple's total gross margin for fiscal year 2024 per its FY2024 10-K?,AAPL,2024,Financial Statements,"Total gross margin was 46.2% for fiscal 2024 (gross margin $180,683M / net sales $391,035M); products 37.2%, services 73.9%.",numeric
"What were Tesla's automotive revenues for fiscal year 2023 (ended December 31, 2023)?",TSLA,2023,Financial Statements,"Automotive revenues were $82.42 billion ($82,419M) for 2023.",numeric
"What operating income did Microsoft report in its FY2024 10-K (fiscal year ended June 30, 2024)?",MSFT,2024,Financial Statements,"Operating income was $109.4 billion ($109,433M) for fiscal 2024.",numeric
What were Amazon Web Services (AWS) segment net sales for fiscal year 2024?,AMZN,2024,Financial Statements,AWS segment net sales were $107.6 billion for 2024 (+19% YoY); AWS operating income $39.8B.,numeric
What primary risk factors did Apple disclose in its FY2024 10-K (Item 1A)?,AAPL,2024,Risk Factors,Key risks: intense global competition; supply/component concentration (largely Asia/China); iPhone dependence; legal/IP/App Store/DMA regulation; macro/FX; data security.,risk
What cybersecurity risks did Microsoft disclose in its FY2024 10-K (Item 1A)?,MSFT,2024,Risk Factors,Sophisticated cyberattacks including nation-state actors targeting Microsoft systems and cloud; compromise of products/services and customer data; disclosed real intrusions affecting operations.,risk
What supply chain risks did Tesla disclose in its FY2024 10-K (Item 1A)?,TSLA,2024,Risk Factors,"Dependence on single-source and limited suppliers; raw-material price/availability volatility (lithium, nickel, cobalt); supply disruptions.",risk
What regulatory risks did Amazon disclose in its FY2023 10-K (Item 1A)?,AMZN,2023,Risk Factors,"Broad and evolving regulation including antitrust/competition scrutiny (US/EU), data privacy, consumer protection and tax; risk of fines and forced business-practice changes.",risk
What competition risks did Alphabet disclose in its FY2024 10-K (Item 1A)?,GOOGL,2024,Risk Factors,"Intense competition across search, advertising, cloud and AI; competitors include general/specialized search, social, e-commerce and emerging AI tools; rapid tech change including generative AI.",risk
What macroeconomic risks did Apple disclose in its FY2023 10-K (Item 1A)?,AAPL,2023,Risk Factors,"Adverse global economic conditions, inflation, weakened consumer/business spending, and foreign-currency volatility (strong USD) pressuring demand and results.",risk
What geopolitical risks did Tesla disclose in its FY2024 10-K (Item 1A)?,TSLA,2024,Risk Factors,"International operations exposure to trade tensions and tariffs (notably US-China), restrictions affecting China operations and supply, and broader political instability.",risk
What AI-related risks did Microsoft disclose in its FY2024 10-K (Item 1A)?,MSFT,2024,Risk Factors,"AI outputs may be flawed, biased or harmful; legal, regulatory, IP, reputational, competitive and security risks from AI; evolving AI regulation; heavy capital investment required.",risk
What are Apple's reportable operating segments and revenue categories per its FY2024 10-K?,AAPL,2024,Business,"Apple's reportable segments are geographic: Americas, Europe, Greater China, Japan, and Rest of Asia Pacific. Revenue categories: iPhone, Mac, iPad, Wearables/Home/Accessories, and Services.",descriptive
What does Tesla describe as its mission in its FY2024 10-K?,TSLA,2024,Business,"Tesla's stated mission is to accelerate the world's transition to sustainable energy; it designs, develops, manufactures and sells EVs and energy generation and storage systems.",descriptive
What are Microsoft's three reportable segments per its FY2024 10-K?,MSFT,2024,Business,Microsoft reports three segments: Productivity and Business Processes; Intelligent Cloud; and More Personal Computing.,descriptive
How does Amazon describe its AWS business in its FY2024 10-K?,AMZN,2024,Business,"AWS is a broad set of on-demand technology services — compute, storage, database, analytics and machine learning — serving startups, enterprises and government agencies.",descriptive
What is Alphabet's primary source of revenue per its FY2024 10-K?,GOOGL,2024,Business,"Online advertising is Alphabet's primary revenue source (Google Search, YouTube ads, Google Network), accounting for over 75% of total revenues.",descriptive
What does Apple disclose about its properties in its FY2024 10-K (Item 2)?,AAPL,2024,Business,"Apple's headquarters is Apple Park in Cupertino, California; it owns and leases offices, retail stores, data centers and other facilities globally; manufacturing is largely outsourced.",descriptive
What does Apple's FY2024 MD&A say about its Services strategy?,AAPL,2024,MD&A,"Apple aims to grow high-margin Services (App Store, advertising, AppleCare, cloud, payment services and subscriptions including Music, TV+ and iCloud) leveraging its large installed base.",descriptive
Compare Apple's total net sales between FY2023 and FY2024 per the FY2024 10-K.,AAPL,,Financial Statements,"Apple's net sales grew from $383.3 billion (FY2023) to $391.0 billion (FY2024), about +2%.",comparative
Compare Tesla's total revenues between FY2023 and FY2024 per the FY2024 10-K.,TSLA,,Financial Statements,"Tesla's total revenues grew from $96.77 billion (FY2023) to $97.69 billion (FY2024), about +1% — sharply slower than prior years.",comparative
Compare Microsoft's operating income between FY2023 and FY2024 per the FY2024 10-K.,MSFT,,Financial Statements,"Microsoft's operating income rose from $88.5 billion (FY2023) to $109.4 billion (FY2024), about +24%.",comparative
Compare Apple's Item 1A risk factors between its FY2023 and FY2024 10-Ks.,AAPL,,Risk Factors,"Both years cite competition, supply concentration, regulatory/legal exposure and macro/FX risk; FY2024 places more weight on AI risks and App Store/DMA-type regulatory pressure.",comparative
Compare Amazon's total net sales between FY2023 and FY2024 per the FY2024 10-K.,AMZN,,Financial Statements,"Amazon's net sales grew from $574.8 billion (FY2023) to $638.0 billion (FY2024), about +11%.",comparative
